source_image,game,draw_date_text,winning_main,winning_bonus,ticket_order,ticket_label,ticket_id,ticket_main,ticket_bonus,matched_main_count,matched_main_numbers,matched_bonus
IMG_4747.PNG,Морковск,13 марта,3 4 7 19 23 28 31,50,1,20 морковок #1,,3 8 14 16 20 22 28,19,2,3 28,0
IMG_4747.PNG,Морковск,13 марта,3 4 7 19 23 28 31,50,2,20 морковок #2,,3 9 12 16 21 28 32,13,2,3 28,0
IMG_4747.PNG,Морковск,13 марта,3 4 7 19 23 28 31,50,3,Билет,300045-52527401-00002,2 13 14 21 22 27 31,8,1,31,0
IMG_4747.PNG,Морковск,13 марта,3 4 7 19 23 28 31,50,4,Билет,300045-52527401-00004,5 8 14 20 25 29 33,20,0,,0
IMG_4747.PNG,Морковск,13 марта,3 4 7 19 23 28 31,50,5,Билет,300045-52527401-00005,1 6 15 18 21 30 34,11,0,,0
IMG_4749.PNG,Морковск,6 марта,3 8 9 13 23 27 32,41,1,30 морковок,,4 6 8 9 16 23 24,30,3,8 9 23,0
IMG_4749.PNG,Морковск,6 марта,3 8 9 13 23 27 32,41,2,20 морковок #1,,3 10 15 17 22 25 27,17,2,3 27,0
IMG_4749.PNG,Морковск,6 марта,3 8 9 13 23 27 32,41,3,20 морковок #2,,5 6 7 8 21 32 33,46,2,8 32,0
IMG_4749.PNG,Морковск,6 марта,3 8 9 13 23 27 32,41,4,Билет,300043-52527401-00002,1 2 7 15 17 26 29,16,0,,0
IMG_4749.PNG,Морковск,6 марта,3 8 9 13 23 27 32,41,5,Билет,300043-52527401-00003,13 14 15 16 18 19 31,24,1,13,0
IMG_4749.PNG,Морковск,6 марта,3 8 9 13 23 27 32,41,6,Билет,300043-52527401-00006,4 6 19 23 24 30 35,11,1,23,0
IMG_4749.PNG,Морковск,6 марта,3 8 9 13 23 27 32,41,7,Билет,300043-52527401-00007,6 7 17 21 22 23 26,43,1,23,0
OZON 2.png,Морковск,25 февраля,3 4 16 17 20 32 33,19,1,30 морковок,,2 3 16 18 20 21 34,15,3,3 16 20,0
OZON 2.png,Морковск,25 февраля,3 4 16 17 20 32 33,19,2,20 морковок #1,,19 20 21 22 30 31 32,44,2,20 32,0
OZON 2.png,Морковск,25 февраля,3 4 16 17 20 32 33,19,3,20 морковок #2,,4 11 14 15 17 21 28,37,2,4 17,0
OZON 2.png,Морковск,25 февраля,3 4 16 17 20 32 33,19,4,Билет,300041-52527401-00001,6 13 14 15 19 23 26,37,0,,0
OZON 2.png,Морковск,25 февраля,3 4 16 17 20 32 33,19,5,Билет,300041-52527401-00003,1 12 13 15 17 18 25,17,1,17,0
OZON 2.png,Морковск,25 февраля,3 4 16 17 20 32 33,19,6,Билет,300041-52527401-00004,8 13 14 17 28 29 34,9,1,17,0
OZON 2.png,Морковск,25 февраля,3 4 16 17 20 32 33,19,7,Билет,300041-52527401-00005,5 17 18 24 25 29 34,51,1,17,0
OZON 2.png,Морковск,25 февраля,3 4 16 17 20 32 33,19,8,Билет,300041-52527401-00008,1 10 11 15 18 26 28,36,0,,0
OZON 2.png,Морковск,25 февраля,3 4 16 17 20 32 33,19,9,Билет,300041-52527401-00009,1 8 9 13 19 20 34,10,1,20,0
OZON 3.png,Морковск,20 февраля,8 10 14 20 22 29 31,44,1,30 морковок,,2 3 6 20 29 31 34,41,3,20 29 31,0
OZON 3.png,Морковск,20 февраля,8 10 14 20 22 29 31,44,2,20 морковок,,12 19 21 22 23 29 34,16,2,22 29,0
OZON 3.png,Морковск,20 февраля,8 10 14 20 22 29 31,44,3,Билет,300040-52527401-00002,11 16 22 23 28 30 34,16,1,22,0
OZON 3.png,Морковск,20 февраля,8 10 14 20 22 29 31,44,4,Билет,300040-52527401-00003,5 7 21 22 24 25 27,13,1,22,0
OZON 4.png,Морковск,16 февраля,1 10 11 12 16 23 27,7,1,20 морковок #1,,21 22 23 24 25 27 34,54,2,23 27,0
OZON 4.png,Морковск,16 февраля,1 10 11 12 16 23 27,7,2,20 морковок #2,,1 5 9 12 14 18 22,1,2,1 12,0
OZON 4.png,Морковск,16 февраля,1 10 11 12 16 23 27,7,3,Билет,300039-52527401-00003,3 10 18 20 28 34 35,12,1,10,0
IMG_4753.PNG,Морковск,12 февраля,2 14 20 26 28 32 35,13,1,30 морковок,,2 3 15 31 32 33 35,3,3,2 32 35,0
IMG_4753.PNG,Морковск,12 февраля,2 14 20 26 28 32 35,13,2,Билет,300038-52527401-00001,7 13 17 22 24 33 34,36,0,,0
IMG_4753.PNG,Морковск,12 февраля,2 14 20 26 28 32 35,13,3,Билет,300038-52527401-00002,5 6 11 19 25 27 31,10,0,,0
IMG_4753.PNG,Морковск,12 февраля,2 14 20 26 28 32 35,13,4,Билет,300038-52527401-00003,2 3 8 13 16 21 31,22,1,2,0
IMG_4753.PNG,Морковск,12 февраля,2 14 20 26 28 32 35,13,5,Билет,300038-52527401-00005,9 10 11 13 16 20 21,33,1,20,0
OZON 6.png,Морковск,5 февраля,3 9 11 14 15 22 25,4,1,30 морковок,,1 2 3 9 10 25 35,28,3,3 9 25,0
OZON 6.png,Морковск,5 февраля,3 9 11 14 15 22 25,4,2,20 морковок,,9 10 13 24 25 30 33,2,2,9 25,0
OZON 6.png,Морковск,5 февраля,3 9 11 14 15 22 25,4,3,Билет,300036-52527401-00001,7 11 12 16 18 20 35,42,1,11,0
OZON 6.png,Морковск,5 февраля,3 9 11 14 15 22 25,4,4,Билет,300036-52527401-00004,8 17 22 27 31 32 33,8,1,22,0
OZON 7.png,Морковск,2 февраля,14 25 26 28 30 31 34,20,1,20 морковок #1,,10 12 15 17 24 30 34,1,2,30 34,0
OZON 7.png,Морковск,2 февраля,14 25 26 28 30 31 34,20,2,20 морковок #2,,10 18 22 27 28 29 30,43,2,28 30,0
OZON 7.png,Морковск,2 февраля,14 25 26 28 30 31 34,20,3,20 морковок #3,,4 9 12 23 25 27 34,54,2,25 34,0
OZON 7.png,Морковск,2 февраля,14 25 26 28 30 31 34,20,4,20 морковок #4,,6 7 12 24 26 31 33,27,2,26 31,0
OZON 8.png,Морковск,27 января,2 5 6 13 16 24 27,8,1,25 морковок #1,,6 10 19 21 27 33 35,46,2,6 27,0
OZON 8.png,Морковск,27 января,2 5 6 13 16 24 27,8,2,25 морковок #2,,5 8 13 14 19 29 33,36,2,5 13,0
OZON 8.png,Морковск,27 января,2 5 6 13 16 24 27,8,3,25 морковок #3,,5 13 15 19 21 29 35,10,2,5 13,0
OZON 8.png,Морковск,27 января,2 5 6 13 16 24 27,8,4,Билет,300001-52527401-00001,1 6 7 10 11 25 26,20,1,6,0
OZON 9.png,Морковск,30 января,8 11 13 14 20 29 33,53,1,Билет,300002-52527401-00001,1 10 16 19 22 31 34,7,0,,0
OZON 9.png,Морковск,30 января,8 11 13 14 20 29 33,53,2,Билет,300002-52527401-00002,10 13 16 27 28 30 34,8,1,13,0
OZON 9.png,Морковск,30 января,8 11 13 14 20 29 33,53,3,Билет,300002-52527401-00003,3 6 7 16 17 22 25,43,0,,0
OZON 9.png,Морковск,30 января,8 11 13 14 20 29 33,53,4,Билет,300002-52527401-00004,3 7 9 17 25 27 29,52,1,29,0
IMG_4758.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,1,45 морковок,,2 13 15 17 26 31 34,50,4,2 13 17 31,0
IMG_4758.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,2,30 морковок,,5 7 17 19 22 26 35,29,3,17 19 22,0
IMG_4758.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,3,20 морковок #1,,9 14 17 18 21 22 29,15,2,17 22,0
IMG_4758.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,4,20 морковок #2,,13 15 17 24 27 32 33,37,2,13 17,0
IMG_4758.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,5,20 морковок #3,,2 7 11 16 21 22 29,7,2,2 22,0
IMG_4758.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,6,20 морковок #4,,6 7 12 24 27 28 31,31,2,12 31,0
IMG_4758.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,7,Билет,300044-52527401-00001,1 9 10 19 27 30 34,42,1,19,0
IMG_4759.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,8,Билет,300044-52527401-00004,1 3 6 12 20 27 30,23,1,12,0
IMG_4759.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,9,Билет,300044-52527401-00005,1 7 13 14 21 23 34,21,1,13,0
IMG_4759.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,10,Билет,300044-52527401-00006,1 7 11 29 30 34 35,29,0,,0
IMG_4759.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,11,Билет,300044-52527401-00009,13 14 20 25 27 29 35,34,1,13,0
IMG_4759.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,12,Билет,300044-52527401-00010,2 6 15 18 23 30 33,44,1,2,0
IMG_4759.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,13,Билет,300044-52527401-00011,1 15 17 18 29 30 32,49,1,17,0
IMG_4759.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,14,Билет,300044-52527401-00012,6 9 21 24 26 28 31,12,1,31,0
IMG_4759.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,15,Билет,300044-52527401-00013,1 10 12 15 18 29 33,43,1,12,0
IMG_4759.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,16,Билет,300044-52527401-00014,1 5 8 10 19 20 30,29,1,19,0
IMG_4759.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,17,Билет,300044-52527401-00015,4 23 27 28 29 33 34,22,0,,0
IMG_4760.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,18,Билет,300044-52527401-00016,7 8 17 23 28 33 35,23,1,17,0
IMG_4760.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,19,Билет,300044-52527401-00017,1 2 3 10 16 28 35,41,1,2,0
IMG_4760.PNG,Морковск,10 марта,2 12 13 17 19 22 31,19,20,Билет,300044-52527401-00020,3 8 14 16 20 28 32,8,0,,0
IMG_4761.PNG,Морковск,2 марта,3 4 7 8 12 18 28,8,1,30 морковок #1,,3 7 22 23 26 27 28,36,3,3 7 28,0
IMG_4761.PNG,Морковск,2 марта,3 4 7 8 12 18 28,8,2,30 морковок #2,,2 8 12 18 19 31 34,30,3,8 12 18,0
IMG_4761.PNG,Морковск,2 марта,3 4 7 8 12 18 28,8,3,20 морковок #1,,8 12 17 21 22 27 31,49,2,8 12,0
IMG_4761.PNG,Морковск,2 марта,3 4 7 8 12 18 28,8,4,20 морковок #2,,1 6 12 13 23 27 28,26,2,12 28,0
IMG_4761.PNG,Морковск,2 марта,3 4 7 8 12 18 28,8,5,20 морковок #3,,7 9 12 20 24 29 33,52,2,7 12,0
IMG_4761.PNG,Морковск,2 марта,3 4 7 8 12 18 28,8,6,20 морковок #4,,2 4 7 11 31 32 35,34,2,4 7,0
IMG_4761.PNG,Морковск,2 марта,3 4 7 8 12 18 28,8,7,20 морковок #5,,3 4 9 15 16 21 23,46,2,3 4,0
IMG_4762.PNG,Морковск,2 марта,3 4 7 8 12 18 28,8,8,20 морковок #6,,1 2 4 14 20 28 29,30,2,4 28,0
IMG_4762.PNG,Морковск,2 марта,3 4 7 8 12 18 28,8,9,Билет,300042-52527401-00001,13 14 19 21 23 28 35,34,1,28,0
IMG_4762.PNG,Морковск,2 марта,3 4 7 8 12 18 28,8,10,Билет,300042-52527401-00003,5 21 23 27 28 34 35,32,1,28,0
